"","Date","Category","Credit","Debit"
"235","03/06/2023","Transportation/",NA,-6
"236","03/06/2023","Transportation/",NA,-35.07
"237","03/06/2023","Groceries/",NA,-6.48
"238","03/06/2023","Internal Transfers/",250,NA
"239","03/06/2023","Deposits/",255,NA
"240","03/03/2023","Dining/",NA,-2.5
"241","03/02/2023","Payments & Transfers/",NA,-70
"242","03/01/2023","Groceries/",NA,-3.68
"243","03/01/2023","Health & Lifestyle/",NA,-8.53
"244","03/01/2023","Paycheck, Pensions & Annuity/",480.2,NA
"245","02/28/2023","Entertainment/",NA,-10.54
"246","02/28/2023","Transportation/",NA,-3.15
"247","02/28/2023","Transportation/",NA,-39.06
"248","02/28/2023","",NA,-1.5
"249","02/28/2023","",NA,-7.12
"250","02/27/2023","",NA,-46.26
"251","02/27/2023","",NA,-12.98
"252","02/27/2023","",NA,-7
"253","02/27/2023","",NA,-2.5
"254","02/24/2023","Transportation/",NA,-2.95
"255","02/23/2023","Groceries/",NA,-11.85
"256","02/23/2023","Groceries/",NA,-6.88
"257","02/23/2023","Transportation/",NA,-40.52
"258","02/22/2023","Health & Lifestyle/",NA,-10.73
"259","02/21/2023","Transportation/",NA,-3.15
"260","02/21/2023","Transportation/",NA,-3.37
"261","02/21/2023","Health & Lifestyle/",NA,-1.5
"262","02/21/2023","Health & Lifestyle/",NA,-8.74
"263","02/21/2023","Groceries/",NA,-2.59
"264","02/21/2023","Transportation/",NA,-53.37
"265","02/21/2023","Groceries/",NA,-6.35
"266","02/21/2023","Groceries/",NA,-2.29
"267","02/21/2023","Payments & Transfers/",NA,-84
"268","02/21/2023","Groceries/",NA,-51.4
"269","02/21/2023","Dining/",NA,-4.5
"270","02/21/2023","Dining/",NA,-12
"271","02/21/2023","Dining/",NA,-6
"272","02/21/2023","Dining/",NA,-6
"273","02/21/2023","Groceries/",26.49,NA
"274","02/16/2023","Health & Lifestyle/",NA,-2.89
"275","02/15/2023","Groceries/",NA,-13.77
"276","02/15/2023","Health & Lifestyle/",NA,-9.84
